Semua Laporan Iklan CPC - Shopee Indonesia
Username,moondaeofficial
Nama Toko,Moon Dae Official Store
ID Toko,797105463
Waktu Laporan Dibuat,09/02/2026 14:08
Periode,01/11/2025 - 30/11/2025

Urutan,Nama Iklan,Status,Jenis Iklan,Kode Produk,Tampilan Iklan,Mode Bidding,Penempatan Iklan,Kata Pencarian/Penempatan,Tipe Pencocokan,Tanggal Mulai,Tanggal Selesai,Dilihat,Jumlah Klik,Persentase Klik,Konversi,Konversi Langsung,Tingkat konversi,Tingkat Konversi Langsung,Biaya per Konversi,Biaya per Konversi Langsung,Produk Terjual,Terjual Langsung,Omzet Penjualan,Penjualan Langsung (GMV Langsung),Biaya,Efektifitas Iklan,Efektivitas Langsung,Persentase Biaya Iklan terhadap Penjualan dari Iklan (ACOS),Persentase Biaya Iklan terhadap Penjualan dari Iklan Langsung (ACOS Langsung),Jumlah Produk Dilihat,Jumlah Klik Produk,Persentase Klik Produk
13,MOON DAE Yonsei Bag Tas Ransel Wanita Kulit Premium Backpack Women Tas Korea [9],Berakhir,Iklan Produk,24259594610,-,GMV Max ROAS,Semua Penempatan,Pilih Otomatis,-,12/11/2025 00:00:00,09/01/2026 08:40:57,49891,1482,2.97%,12,10,0.81%,0.67%,28276.96,33932.36,12,10,1859193,1586735,339324,5.48,4.68,18.25%,21.39%,-,-,-
14,MOON DAE Namsan Bag Tas Ransel Wanita Kulit Premium Backpack Women Tas Korea [5],Berakhir,Iklan Produk,24931712580,-,GMV Max ROAS,Semua Penempatan,Pilih Otomatis,-,12/11/2025 00:00:00,07/01/2026 10:32:53,45759,1429,3.12%,14,13,0.98%,0.91%,23341.27,25136.76,14,13,1892871,1737658,326778,5.79,5.32,17.26%,18.81%,-,-,-
15,MOON DAE Wonee Shoulder Bag Tas Bahu Wanita Denim Kulit Premium Handbag For Women Tas Korea [10],Berakhir,Iklan Produk,26270376208,-,GMV Max ROAS,Semua Penempatan,Pilih Otomatis,-,19/11/2025 00:00:00,21/11/2025 10:13:47,37844,1295,3.42%,4,2,0.31%,0.15%,48292.83,96585.66,4,2,562813,242213,193171,2.91,1.25,34.32%,79.75%,-,-,-
16,MOON DAE Yara Bag Tas Selempang Wanita Transparan Mika PVC Sling Bag For Women Tas Korea [3],Berakhir,Iklan Produk,26750627199,-,GMV Max ROAS,Semua Penempatan,Pilih Otomatis,-,03/09/2025 00:00:00,18/11/2025 14:33:56,37161,1338,3.60%,28,28,2.09%,2.09%,20014.48,20014.48,35,35,3127197,3127197,560405,5.58,5.58,17.92%,17.92%,-,-,-
17,MOON DAE Honey Shoulder Bag Tas Bahu Wanita Denim Kulit Premium Handbag For Women Tas Korea [3],Berakhir,Iklan Produk,25234266766,-,GMV Max ROAS,Semua Penempatan,Pilih Otomatis,-,19/11/2025 00:00:00,26/11/2025 11:10:27,32263,991,3.07%,2,2,0.20%,0.20%,51319.10,51319.10,2,2,306880,306880,102638,2.99,2.99,33.45%,33.45%,-,-,-
18,MOON DAE Honey Shoulder Bag Tas Bahu Wanita Denim Kulit Premium Handbag For Women Tas Korea [4],Berakhir,Iklan Produk,25234266766,-,GMV Max ROAS,Semua Penempatan,Pilih Otomatis,-,26/11/2025 00:00:00,09/01/2026 08:40:57,27328,829,3.03%,6,6,0.72%,0.72%,24546.50,24546.50,6,6,906920,906920,147279,6.16,6.16,16.24%,16.24%,-,-,-
19,MOON DAE Wonee Shoulder Bag Tas Bahu Wanita Denim Kulit Premium Handbag For Women Tas Korea [9],Berakhir,Iklan Produk,26270376208,-,GMV Max ROAS,Semua Penempatan,Pilih Otomatis,-,15/10/2025 00:00:00,18/11/2025 14:34:06,23134,1016,4.39%,10,10,0.98%,0.98%,19139.79,19139.79,10,10,1143100,1143100,191398,5.97,5.97,16.74%,16.74%,-,-,-
20,MOON DAE Naomi Bag Tas Selempang Wanita Canvas Premium Sling Bag Handbag For Women Tas Korea [14],Berakhir,Iklan Produk,23030834751,-,GMV Max ROAS,Semua Penempatan,Pilih Otomatis,-,29/10/2025 00:00:00,09/01/2026 08:40:57,19342,856,4.43%,7,7,0.82%,0.82%,26343.78,26343.78,7,7,879339,879339,184406,4.77,4.77,20.97%,20.97%,-,-,-
21,MOON DAE Wonee Shoulder Bag Tas Bahu Wanita Denim Kulit Premium Handbag For Women Tas Korea [11],Berakhir,Iklan Produk,26270376208,-,GMV Max ROAS,Semua Penempatan,Pilih Otomatis,-,26/11/2025 00:00:00,28/01/2026 11:41:50,18666,681,3.65%,5,3,0.73%,0.44%,25635.29,42725.49,5,3,714296,421136,128176,5.57,3.29,17.94%,30.44%,-,-,-
22,MOON DAE Haru Pack Tas Ransel Laptop Wanita Multifungsi Totepack Kuliah Kerja Korea MND-HARU [7],Berakhir,Iklan Produk,28091103256,-,GMV Max ROAS,Semua Penempatan,Pilih Otomatis,-,19/11/2025 00:00:00,07/01/2026 10:32:53,15726,633,4.03%,4,4,0.63%,0.63%,34538.76,34538.76,4,4,1013689,1013689,138155,7.34,7.34,13.63%,13.63%,-,-,-
23,MOON DAE Mini Naomi Bag Tas Selempang Wanita Canvas Premium Sling Bag Handbag For Women Tas Korea [10],Berakhir,Iklan Produk,25335748401,-,GMV Max ROAS,Semua Penempatan,Pilih Otomatis,-,19/11/2025 00:00:00,26/11/2025 11:10:27,15100,449,2.97%,2,2,0.45%,0.45%,59357.70,59357.70,2,2,359034,359034,118715,3.02,3.02,33.07%,33.07%,-,-,-
24,MOON DAE Moon Bag Tas Selempang Wanita Kulit Premium Sling Bag Bucket Handbag For Women Tas Korea [10],Berakhir,Iklan Produk,25565593833,-,GMV Max ROAS,Semua Penempatan,Pilih Otomatis,-,08/10/2025 00:00:00,27/12/2025 08:53:56,14178,530,3.74%,8,6,1.51%,1.13%,16700.30,22267.06,9,7,956180,731082,133602,7.16,5.47,13.97%,18.27%,-,-,-
25,MOON DAE Honey Shoulder Bag Tas Bahu Wanita Denim Kulit Premium Handbag For Women Tas Korea [2],Berakhir,Iklan Produk,25234266766,-,GMV Max ROAS,Semua Penempatan,Pilih Otomatis,-,12/11/2025 00:00:00,19/11/2025 13:09:34,11040,374,3.39%,1,1,0.27%,0.27%,50292.41,50292.41,1,1,110768,110768,50292,2.20,2.20,45.40%,45.40%,-,-,-
26,MOON DAE Haru Pack Tas Ransel Laptop Wanita Multifungsi Totepack Kuliah Kerja Korea MND-HARU [6],Berakhir,Iklan Produk,28091103256,-,GMV Max ROAS,Semua Penempatan,Pilih Otomatis,-,12/11/2025 00:00:00,14/11/2025 10:05:23,10907,338,3.10%,1,1,0.30%,0.30%,30243.49,30243.49,1,1,214514,214514,30243,7.09,7.09,14.10%,14.10%,-,-,-
27,MOON DAE Yoona Bag Tas Selempang Wanita Kulit Premium Sling Bag Saddle Handbag For Women Tas Korea [15],Berakhir,Iklan Produk,22619071668,-,GMV Max ROAS,Semua Penempatan,Pilih Otomatis,-,26/11/2025 00:00:00,28/11/2025 10:27:37,10580,140,1.32%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,23901,0.00,0.00,0.00%,0.00%,-,-,-
28,MOON DAE Yezi Bag Tas Selempang Wanita Kulit Premium Sling Bag Handbag For Women Tas Korea [11],Berakhir,Iklan Produk,28366982327,-,GMV Max ROAS,Semua Penempatan,Pilih Otomatis,-,29/10/2025 00:00:00,09/01/2026 08:40:57,10193,330,3.24%,5,3,1.52%,0.91%,23777.31,39628.86,5,3,644420,379640,118887,5.42,3.19,18.45%,31.32%,-,-,-
29,MOON DAE Yara Bag Tas Selempang Wanita Transparan Mika PVC Sling Bag For Women Tas Korea [5],Berakhir,Iklan Produk,26750627199,-,GMV Max ROAS,Semua Penempatan,Pilih Otomatis,-,26/11/2025 00:00:00,28/11/2025 10:27:37,9823,299,3.04%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,82700,0.00,0.00,0.00%,0.00%,-,-,-
30,MOON DAE Asha Shoulder Bag Tas Bahu Wanita Kulit Premium Handbag For Women Tas Korea [9],Berakhir,Iklan Produk,28513560361,-,GMV Max ROAS,Semua Penempatan,Pilih Otomatis,-,26/11/2025 00:00:00,17/12/2025 13:12:22,9661,271,2.81%,2,1,0.74%,0.37%,24091.98,48183.96,2,1,265718,130300,48184,5.51,2.70,18.13%,36.98%,-,-,-
31,MOON DAE Mini Naomi Bag Tas Selempang Wanita Canvas Premium Sling Bag Handbag For Women Tas Korea [9],Berakhir,Iklan Produk,25335748401,-,GMV Max ROAS,Semua Penempatan,Pilih Otomatis,-,29/10/2025 00:00:00,14/11/2025 10:05:23,9603,424,4.42%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,25644,0.00,0.00,0.00%,0.00%,-,-,-
32,MOON DAE Som Bag Tas Tote Bag Wanita Korea Puffy Muat Laptop MND-SOM,Berakhir,Iklan Produk,57350973044,-,GMV Max Auto,Semua Penempatan,Pilih Otomatis,-,12/11/2025 00:00:00,17/12/2025 13:12:22,8569,128,1.49%,3,1,2.34%,0.78%,30534.21,91602.62,3,1,473320,241061,91603,5.17,2.63,19.35%,38.00%,-,-,-
33,MOON DAE Binna Shoulder Bag Tas Bahu Wanita Kulit Premium Handbag For Women Tas Korea [8],Berakhir,Iklan Produk,27824623172,-,GMV Max ROAS,Semua Penempatan,Pilih Otomatis,-,08/10/2025 00:00:00,08/12/2025 19:00:17,8161,289,3.54%,1,0,0.35%,0.00%,35365.06,0.00,1,0,122613,0,35365,3.47,0.00,28.84%,0.00%,-,-,-
34,"MOON DAE Yuri 3in1 Tas Wanita Korea Stylish Kulit Premium - Shoulder Bag, Sling Bag, HandBag [10]",Berakhir,Iklan Produk,29937215342,-,GMV Max ROAS,Semua Penempatan,Pilih Otomatis,-,19/11/2025 00:00:00,13/12/2025 09:08:52,7819,234,2.99%,1,1,0.43%,0.43%,48347.94,48347.94,1,1,175300,175300,48348,3.63,3.63,27.58%,27.58%,-,-,-
35,MOON DAE Yoona Bag Tas Selempang Wanita Kulit Premium Sling Bag Saddle Handbag For Women Tas Korea [14],Berakhir,Iklan Produk,22619071668,-,GMV Max ROAS,Semua Penempatan,Pilih Otomatis,-,19/11/2025 00:00:00,21/11/2025 10:13:47,6900,91,1.32%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,36756,0.00,0.00,0.00%,0.00%,-,-,-
36,MOON DAE Yonhi Tas Ransel Wanita Korea Waterproof Anti Air Backpack Laptop 14 Inch Kuliah Kerja MND [6],Berakhir,Iklan Produk,29342401463,-,GMV Max ROAS,Semua Penempatan,Pilih Otomatis,-,26/11/2025 00:00:00,07/01/2026 10:32:53,6747,236,3.50%,1,1,0.42%,0.42%,49581.00,49581.00,1,1,250000,250000,49581,5.04,5.04,19.83%,19.83%,-,-,-
