Semua Laporan Iklan CPC - Shopee Indonesia
Username,official.aljazira
Nama Toko,Official Al-Jazira
ID Toko,1133835464
Waktu Laporan Dibuat,19/02/2026 08:38
Periode,01/01/2026 - 31/01/2026

Urutan,Nama Iklan,Status,Jenis Iklan,Kode Produk,Tampilan Iklan,Mode Bidding,Penempatan Iklan,Kata Pencarian/Penempatan,Tipe Pencocokan,Tanggal Mulai,Tanggal Selesai,Dilihat,Jumlah Klik,Persentase Klik,Konversi,Konversi Langsung,Tingkat konversi,Tingkat Konversi Langsung,Biaya per Konversi,Biaya per Konversi Langsung,Produk Terjual,Terjual Langsung,Omzet Penjualan,Penjualan Langsung (GMV Langsung),Biaya,Efektifitas Iklan,Efektivitas Langsung,Persentase Biaya Iklan terhadap Penjualan dari Iklan (ACOS),Persentase Biaya Iklan terhadap Penjualan dari Iklan Langsung (ACOS Langsung),Jumlah Produk Dilihat,Jumlah Klik Produk,Persentase Klik Produk
40,CAMPAIGN BEST SELLER - SK 1 KG,Berjalan,Iklan Toko,-,Tampilan Iklan Manual,Bidding Manual,-,sari kurma al jazira,Pencocokan Spesifik,17/09/2025 00:00:00,Tidak Terbatas,1278,111,8.69%,23,18,20.72%,16.22%,3504.04,4477.38,26,19,978738,733566,80593,12.14,9.10,8.23%,10.99%,11672,32,0.27%
41,CAMPAIGN BEST SELLER - SK 1 KG,Berjalan,Iklan Toko,-,Tampilan Iklan Manual,Bidding Manual,-,sari kurma untuk ibu hamil,Pencocokan Luas,17/09/2025 00:00:00,Tidak Terbatas,750,19,2.53%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,10046,0.00,0.00,0.00%,0.00%,2617,7,0.27%
42,CAMPAIGN BEST SELLER - SK 1 KG,Berjalan,Iklan Toko,-,Tampilan Iklan Manual,Bidding Manual,-,vitamin penambah berat badan,Pencocokan Luas,17/09/2025 00:00:00,Tidak Terbatas,211,6,2.84%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,3353,0.00,0.00,0.00%,0.00%,654,5,0.76%
43,CAMPAIGN BEST SELLER - SK 1 KG,Berjalan,Iklan Toko,-,Tampilan Iklan Manual,Bidding Manual,-,madu sari kurma,Pencocokan Spesifik,17/09/2025 00:00:00,Tidak Terbatas,151,4,2.65%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,2259,0.00,0.00,0.00%,0.00%,1336,3,0.22%
44,CAMPAIGN BEST SELLER - SK 1 KG,Berjalan,Iklan Toko,-,Tampilan Iklan Manual,Bidding Manual,-,sari kurma ajwa,Pencocokan Spesifik,17/09/2025 00:00:00,Tidak Terbatas,101,3,2.97%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,1523,0.00,0.00,0.00%,0.00%,871,2,0.23%
45,CAMPAIGN BEST SELLER - SK 1 KG,Berjalan,Iklan Toko,-,Tampilan Iklan Manual,Bidding Manual,-,sari kurma tamr,Pencocokan Spesifik,17/09/2025 00:00:00,Tidak Terbatas,68,3,4.41%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,1494,0.00,0.00,0.00%,0.00%,454,2,0.44%
46,CAMPAIGN BEST SELLER - SK 1 KG,Berjalan,Iklan Toko,-,Tampilan Iklan Manual,Bidding Manual,-,sari kurma sahara,Pencocokan Spesifik,17/09/2025 00:00:00,Tidak Terbatas,56,4,7.14%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,2998,0.00,0.00,0.00%,0.00%,383,0,0.00%
47,CAMPAIGN BEST SELLER - SK 1 KG,Berjalan,Iklan Toko,-,Tampilan Iklan Manual,Bidding Manual,-,sari kurma az zahra,Pencocokan Spesifik,17/09/2025 00:00:00,Tidak Terbatas,51,2,3.92%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,1145,0.00,0.00,0.00%,0.00%,442,0,0.00%
48,CAMPAIGN BEST SELLER - SK 1 KG,Berjalan,Iklan Toko,-,Tampilan Iklan Manual,Bidding Manual,-,sari kurma tipes,Pencocokan Luas,17/09/2025 00:00:00,Tidak Terbatas,29,3,10.34%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,1561,0.00,0.00,0.00%,0.00%,88,1,1.14%
49,CAMPAIGN BEST SELLER - SK 1 KG,Berjalan,Iklan Toko,-,Tampilan Iklan Manual,Bidding Manual,-,pengemuk badan,Pencocokan Spesifik,17/09/2025 00:00:00,Tidak Terbatas,25,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,0,0.00,0.00,0.00%,0.00%,75,0,0.00%
50,CAMPAIGN BEST SELLER - SK 1 KG,Berjalan,Iklan Toko,-,Tampilan Iklan Manual,Bidding Manual,-,sari kurma murni,Pencocokan Spesifik,17/09/2025 00:00:00,Tidak Terbatas,14,1,7.14%,1,1,100.00%,100.00%,874.59,874.59,1,1,45600,45600,875,52.14,52.14,1.92%,1.92%,79,1,1.27%
51,CAMPAIGN BEST SELLER - SK 1 KG,Berjalan,Iklan Toko,-,Tampilan Iklan Manual,Bidding Manual,-,sari kurma angkak,Pencocokan Spesifik,17/09/2025 00:00:00,Tidak Terbatas,13,1,7.69%,1,0,100.00%,0.00%,952.90,0.00,2,0,87552,0,953,91.88,0.00,1.09%,0.00%,89,0,0.00%
52,CAMPAIGN BEST SELLER - SK 1 KG,Berjalan,Iklan Toko,-,Tampilan Iklan Manual,Bidding Manual,-,penambah berat badan,Pencocokan Spesifik,17/09/2025 00:00:00,Tidak Terbatas,13,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,0,0.00,0.00,0.00%,0.00%,39,0,0.00%
53,CAMPAIGN BEST SELLER - SK 1 KG,Berjalan,Iklan Toko,-,Tampilan Iklan Manual,Bidding Manual,-,sari kurma madu angkak,Pencocokan Spesifik,17/09/2025 00:00:00,Tidak Terbatas,7,2,28.57%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,1278,0.00,0.00,0.00%,0.00%,46,1,2.17%
54,CAMPAIGN BEST SELLER - SK 1 KG,Berjalan,Iklan Toko,-,Tampilan Iklan Manual,Bidding Manual,-,penambah napsu makan,Pencocokan Spesifik,17/09/2025 00:00:00,Tidak Terbatas,7,1,14.29%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,949,0.00,0.00,0.00%,0.00%,35,1,2.86%
55,CAMPAIGN BEST SELLER - SK 1 KG,Berjalan,Iklan Toko,-,Tampilan Iklan Manual,Bidding Manual,-,minuman penambah berat badan,Pencocokan Spesifik,17/09/2025 00:00:00,Tidak Terbatas,6,1,16.67%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,481,0.00,0.00,0.00%,0.00%,18,0,0.00%
56,CAMPAIGN BEST SELLER - SK 1 KG,Berjalan,Iklan Toko,-,Tampilan Iklan Manual,Bidding Manual,-,sari kurma hni,Pencocokan Spesifik,17/09/2025 00:00:00,Tidak Terbatas,3,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,0,0.00,0.00,0.00%,0.00%,14,0,0.00%
57,CAMPAIGN BEST SELLER - SK 1 KG,Berjalan,Iklan Toko,-,Tampilan Iklan Manual,Bidding Manual,-,sari kurma madu,Pencocokan Spesifik,17/09/2025 00:00:00,Tidak Terbatas,3,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,0,0.00,0.00,0.00%,0.00%,21,0,0.00%
58,CAMPAIGN BEST SELLER - SK 1 KG,Berjalan,Iklan Toko,-,Tampilan Iklan Manual,Bidding Manual,-,kurmaku sari kurma madu,Pencocokan Spesifik,17/09/2025 00:00:00,Tidak Terbatas,1,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,0,0.00,0.00,0.00%,0.00%,8,0,0.00%
