All CPC Ads Report - Shopee Indonesia
User Name,salt.saltier
Shop Name,Salt Offical Store
Shop ID,885153599
Report Creation Time,19/02/2026 15:13
Date Period,01/01/2026 - 31/01/2026

Sequence,Ad Name,Status,Ads Type,Product ID,Creative,Bidding Method,Placement,Start Date,End Date,Impression,Clicks,CTR,Conversions,Direct Conversions,Conversion Rate,Direct Conversion Rate,Cost per Conversion,Cost per Direct Conversion,Items Sold,Direct Items Sold,GMV,Direct GMV,Expense,ROAS,Direct ROAS,ACOS,Direct ACOS,Product Impressions,Product Clicks,Product CTR
14,SALT Logan Tas Dada Pria Selempang Bahu Anti Air Garansi Sling Bag Waterproof Cowok Tas Kerja Modern [5],Ongoing,Product Ad,25290221918,-,GMV Max Custom ROAS,All,06/10/2025 00:00:00,Unlimited,53053,1852,3.49%,23,19,1.24%,1.03%,36359.59,44014.24,29,19,5963900,5622500,836270,7.13,6.72,14.02%,14.87%,-,-,-
15,SALT Onyx Black Tas Selempang Bag Garansi 5 Tahun Anti Air Pria Cowok Kerja Pouch Clutch Dompet [4],Ongoing,Product Ad,24640373968,-,GMV Max Custom ROAS,All,06/08/2025 00:00:00,Unlimited,45020,983,2.18%,28,22,2.85%,2.24%,43043.92,54783.17,31,25,6517500,5005600,1205230,5.41,4.15,18.49%,24.08%,-,-,-
16,SALT Noire Tas Dada Pinggang Cowok Waistbag Garansi Waterproof Formal Pria Kantor Distro Selempang [4],Ongoing,Product Ad,22190576218,-,GMV Max Custom ROAS,All,16/08/2025 00:00:00,Unlimited,42564,1532,3.60%,23,11,1.50%,0.72%,57131.56,119456.89,23,11,5632750,3071250,1314026,4.29,2.34,23.33%,42.78%,-,-,-
17,SALT Elegance Tas Ransel Pria Anti Air Backpack Laptop Cowok Kerja Sekolah Waterproof Premium [7],Ongoing,Product Ad,29972836952,-,GMV Max Custom ROAS,All,07/11/2025 00:00:00,Unlimited,41852,786,1.88%,8,1,1.02%,0.13%,81274.22,650193.76,8,1,2739004,409500,650194,4.21,0.63,23.74%,158.78%,-,-,-
18,SALT Ashford Tas Selempang Cowok Waterproof Garansi Slingbag Pria Anti Air Kantor Kuliah Premium [2],Ongoing,Product Ad,28234771666,-,GMV Max Custom ROAS,All,01/07/2025 00:00:00,Unlimited,39589,988,2.50%,11,7,1.11%,0.71%,58707.08,92253.98,12,7,3141120,1982500,645778,4.86,3.07,20.56%,32.57%,-,-,-
19,SALT Bravado Tas Selempang Waistbag Garansi 5 Tahun Rubber Mix Pu Leather Pria Cowok Kulit Premium [3],Ongoing,Product Ad,26572740861,-,GMV Max Custom ROAS,All,01/07/2025 00:00:00,Unlimited,38023,1393,3.66%,5,3,0.36%,0.22%,115568.00,192613.33,5,3,1636000,908000,577840,2.83,1.57,35.32%,63.64%,-,-,-
20,SALT Rogue Waistbag Pria Tas Dada Pinggang Cowok Tas Selempang Garansi Multifungsi Waterproof [3],Ongoing,Product Ad,29572872539,-,GMV Max Custom ROAS,All,04/06/2025 00:00:00,Unlimited,31307,855,2.73%,17,15,1.99%,1.75%,33695.75,38188.52,17,15,3027500,2827500,572828,5.29,4.94,18.92%,20.26%,-,-,-
21,SALT Jethro Waistbag Pria Tas Dada Pinggang Cowok Tas Selempang Garansi Multifungsi Waterproof [7],Ongoing,Product Ad,23913033263,-,GMV Max Custom ROAS,All,06/10/2025 00:00:00,Unlimited,21154,890,4.21%,15,15,1.69%,1.69%,28498.08,28498.08,15,15,2923000,2923000,427471,6.84,6.84,14.62%,14.62%,-,-,-
22,SALT Bennet Tas Selempang Cowok Waterproof Garansi Slingbag Pria Anti Air Kantor Kuliah Premium [8],Ongoing,Product Ad,20869343391,-,GMV Max Custom ROAS,All,16/08/2025 00:00:00,Unlimited,20801,634,3.05%,14,12,2.21%,1.89%,53116.23,61968.94,14,12,3662100,3276000,743627,4.92,4.41,20.31%,22.70%,-,-,-
23,SALT Luxeon Tas Travel Gym Multifungsi Anti Air Garansi 5 Tahun Elegan Premium Pria Pakaian Liburan [5],Ongoing,Product Ad,27672858256,-,GMV Max Custom ROAS,All,16/08/2025 00:00:00,Unlimited,20517,729,3.55%,11,9,1.51%,1.23%,63799.38,77977.02,11,9,5278000,4446000,701793,7.52,6.34,13.30%,15.78%,-,-,-
24,SALT GRIMWALD Leather Brown Tas Ransel Pria  Backpack Cowok Resleting Metal Tas Laptop Kulit Vintage,Ongoing,Product Ad,27137990174,-,GMV Max Custom ROAS,All,01/07/2025 00:00:00,Unlimited,17208,374,2.17%,2,1,0.53%,0.27%,99306.38,198612.75,2,1,728900,699000,198613,3.67,3.52,27.25%,28.41%,-,-,-
25,SALT LEXINGTON Backpack Laptop 14 inch Wanita Pria Leather Btown Tas Ransel Cewek Pu Premium Kulit [2],Ongoing,Product Ad,43606000975,-,GMV Max Custom ROAS,All,16/08/2025 00:00:00,Unlimited,9855,259,2.63%,2,1,0.77%,0.39%,47298.57,94597.15,2,1,484200,454300,94597,5.12,4.80,19.54%,20.82%,-,-,-
